id,deal_id,seller_id,contact_id,seller_type,share_class,shares,price_cents,total_cents,min_size_cents,implied_valuation_cents,discount_pct,valuation_date,status,status_changed_at,expires_at,source,source_detail,broker_id,broker_contact_id,broker_fee_bps,exclusivity,exclusivity_until,verified,verified_at,verification_notes,internal_notes,created_at,updated_at
4,51,631,,,,,,,,,,,available,,,,,,,,false,,false,,,The underlying asset in this SPV is employee-held shares structured through a trust.,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
5,51,632,,,,,,2500000000,,,,,available,,,,,,,,false,,false,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
6,51,633,,,,,,,,,,,available,,,,,,,,false,,false,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
7,63,633,,,,,,,,,,,available,,,,,,,,false,,false,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
8,63,634,,,,,,,,,,,available,,,,,,,,false,,false,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
9,52,635,,,,,,,,,,,available,,,,,,,,false,,false,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
10,52,549,,,,,,,,,,,available,,,,,,,,false,,false,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
11,56,549,,,,,,1000000000,,,,,available,,,,,,,,false,,false,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
14,51,549,,,,,,,,,,,available,,,,,,,,false,,false,,,They have a co-gp strucure with Accrete Capital (Ali Shekofti),2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
15,51,636,,,,,42100,2450000000,,,,,available,,,,,,,,false,,false,,,7.5 to gp. 1.5 to a middle man. 9 to us. Our GP after 9,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
16,61,635,,,,,,5000000000,,,,,available,,,,,,,,false,,false,,,9/0/0,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
