id,name,kind,company_id,status,stage,priority,confidence,target_cents,min_raise_cents,max_raise_cents,committed_cents,closed_cents,valuation_cents,share_price_cents,share_class,structure_notes,sourced_at,qualified_at,expected_close,deadline,closed_at,source,source_detail,referred_by_id,broker_id,competitors,drive_url,data_room_url,notion_url,deck_url,owner_id,team_member_ids,tags,custom_fields,internal_notes,created_at,updated_at
51,SpaceX,arrow,637,live,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
52,Tether Q4 2025,arrow,565,live,,2,,,,,15100000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
53,Figure AI Q4 2025,arrow,647,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
54,Ledger Q4 2025,arrow,616,sourcing,,2,,,,,1100000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
55,OpenAI Q4 2025,arrow,636,sourcing,,2,,,,,10000000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
56,Anduril Q4 2025,arrow,649,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
57,Petite Ermitage,arrow,685,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
58,Groq Q4 2025,arrow,686,sourcing,,2,,,,,500000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
59,Hadrian Q4 2025,arrow,687,sourcing,,2,,,,,500000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
60,Perplexity Q4 2025,arrow,661,sourcing,,2,,,,,5000000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
61,Anthropic Q4 2025,arrow,640,live,,2,,,,,7000000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
62,Polymarket Q4 2025,arrow,566,live,,2,,,,,1000000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
63,xAI Q1 2026,arrow,679,live,,2,,,,,1100000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
64,Waymo Q1 2026,arrow,693,live,,2,,,,,2000000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
65,Caruso,arrow,694,sourcing,,2,,,,,100000000,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
66,Kraken,arrow,660,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
67,Valar Atomics,arrow,625,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
68,Bytedance,arrow,638,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
69,AF Compute,liberator,689,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
70,Playr1,liberator,688,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
71,LeVecke,liberator,615,live,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
72,Aspen Labs,liberator,690,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
73,M Card,liberator,695,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
74,Easy Spirits Baking,liberator,691,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
75,Naughty Water,liberator,692,sourcing,,2,,,,,0,0,,,,,,,,,,,,,,[],,,,,,[],[],{},,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
